City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
380,Tahoua,NE,73.24,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
383,North Myrtle Beach,US,83.05,clear sky,33.816,-78.68,Avista Resort
384,Sirjan,IR,77.81,clear sky,29.452,55.6814,MAPNA Building
385,Yako,BF,77.79,moderate rain,12.9667,-2.2667,CADAAY
386,Udachnyy,RU,84.34,scattered clouds,66.4167,112.4,Severnoye Siyaniye
388,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
390,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
393,Bani Walid,LY,70.75,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
396,Srikakulam,IN,87.33,moderate rain,18.3,83.9,Sriram residency
397,Bambanglipuro,ID,80.42,overcast clouds,-7.95,110.2833,Puri Brata
405,Remanso,BR,73.87,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
406,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
410,Sola,VU,80.53,scattered clouds,-13.8833,167.55,Leumerus Bungalows
412,Hillsborough,US,83.48,broken clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
413,Takoradi,GH,75.58,overcast clouds,4.8845,-1.7554,Raybow International Hotel
416,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
418,Axim,GH,76.03,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
422,Chichigalpa,NI,78.28,broken clouds,12.5776,-87.027,La Vista - Hotel & Restaurante
425,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
427,Lakatoro,VU,80.11,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
429,Cockburn Town,TC,82.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
430,Suifenhe,CN,87.8,overcast clouds,44.4,131.1667,Holiday Inn Suifenhe
437,College,US,71.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
438,Banda Aceh,ID,84.2,overcast clouds,5.5577,95.3222,Sulthan Hotel International
442,Yanam,IN,82.8,overcast clouds,16.7333,82.2167,The Regency Hotel
443,Talnakh,RU,78.4,overcast clouds,69.4865,88.3972,Talnakh Hotel
445,Westport,US,80.37,haze,41.1415,-73.3579,The Westport Inn
