City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Blagoyevo,RU,63.3667,47.9167,45.57,77,28,8.34,scattered clouds
120,Chuy,UY,-33.6971,-53.4616,50.74,77,87,12.15,overcast clouds
121,Egvekinot,RU,66.3167,-179.1667,44.13,94,100,1.36,light rain
122,San Quintin,MX,30.4833,-115.95,72.95,69,27,11.54,scattered clouds
123,Namatanai,PG,-3.6667,152.4333,79.07,78,53,2.55,broken clouds
124,Tautira,PF,-17.7333,-149.15,82.42,74,31,8.08,scattered clouds
125,Mar Del Plata,AR,-38.0023,-57.5575,48.22,65,75,5.99,broken clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,0,17.27,clear sky
127,Ola,RU,59.5833,151.2833,55.06,95,100,2.37,light rain
128,Waingapu,ID,-9.6567,120.2641,71.67,81,96,4.76,overcast clouds
129,Basco,PH,20.4487,121.9702,82.67,89,100,25.99,overcast clouds
130,San Cristobal,VE,7.7669,-72.225,77.18,83,89,5.26,overcast clouds
131,Raudeberg,NO,61.9875,5.1352,78.4,73,86,10.02,overcast clouds
132,Abonnema,NG,4.7084,6.7931,79.09,71,96,7.16,overcast clouds
133,Fortuna,US,40.5982,-124.1573,97.48,79,1,17.27,clear sky
134,Nemuro,JP,43.3236,145.575,60.21,99,100,14.47,light rain
135,Moose Factory,CA,51.2585,-80.6094,60.8,63,1,9.22,clear sky
136,Jaumave,MX,23.4167,-99.3833,87.94,33,0,7.9,clear sky
137,Lypova Dolyna,UA,50.5643,33.7979,70.75,51,88,3.6,overcast clouds
138,Hami,CN,42.8,93.45,83.88,21,5,9.66,clear sky
139,Aksarka,RU,66.5606,67.7975,46.89,93,82,5.66,broken clouds
140,Nicolas Bravo,MX,18.45,-88.9167,93.24,43,67,7.25,broken clouds
141,Lagoa,PT,39.05,-27.9833,70.83,87,72,9.84,broken clouds
142,Kargasok,RU,59.0556,80.8572,52.36,95,100,14.83,overcast clouds
143,Penzance,GB,50.1186,-5.5371,63.61,83,100,12.06,overcast clouds
144,Balykshi,KZ,47.0667,51.8667,71.6,26,0,13.42,clear sky
145,Touros,BR,-5.1989,-35.4608,81.5,76,2,13.35,clear sky
146,Mahenge,TZ,-8.6833,36.7167,58.01,54,38,4.32,scattered clouds
147,Donskoye,RU,45.4552,41.9741,80.91,45,45,10.54,scattered clouds
148,Zelenoborsk,RU,61.4669,64.0333,51.33,87,57,4.74,broken clouds
149,Dikson,RU,73.5069,80.5464,37.81,100,100,6.96,overcast clouds
150,Ustrzyki Dolne,PL,49.4304,22.5938,65.44,90,23,5.3,few clouds
151,Ponta Do Sol,PT,32.6667,-17.1,74.71,82,2,5.32,clear sky
152,Taft,IR,31.7471,54.2088,84.15,14,20,4.61,few clouds
153,Grand Gaube,MU,-20.0064,57.6608,66.6,86,27,3.0,moderate rain
154,Coahuayana,MX,18.7333,-103.6833,90.88,65,44,7.14,scattered clouds
155,Urumqi,CN,43.801,87.6005,79.75,23,0,8.95,clear sky
156,Srednekolymsk,RU,67.45,153.6833,46.42,65,76,13.87,broken clouds
157,Radishchevo,RU,52.85,47.8833,62.71,59,68,3.4,broken clouds
158,Porto Empedocle,IT,37.2934,13.5264,81.9,57,0,6.38,clear sky
159,Hasaki,JP,35.7333,140.8333,72.28,94,100,29.37,overcast clouds
160,Dunedin,NZ,-45.8742,170.5036,48.79,62,94,11.01,overcast clouds
161,Marienburg,PL,54.0359,19.0266,69.46,95,87,7.16,overcast clouds
162,Corinto,GR,37.9407,22.9573,84.69,34,0,1.43,clear sky
163,Cassilandia,BR,-19.1133,-51.7342,79.7,21,0,3.74,clear sky
164,Brockville,CA,44.5834,-75.6826,82.69,69,92,9.66,light rain
165,Shimoda,JP,34.6667,138.95,77.11,90,100,3.11,overcast clouds
166,Codrington,AU,-38.2667,141.9667,47.12,72,21,15.59,few clouds
167,Finote Selam,ET,10.7,37.2667,57.85,98,100,0.67,moderate rain
168,The Valley,AI,18.217,-63.0578,86.14,66,40,13.8,scattered clouds
169,Maracas,BR,-13.4411,-40.4308,63.63,79,89,6.4,overcast clouds
170,Tezu,IN,27.9167,96.1667,77.09,97,100,3.0,overcast clouds
171,La Reforma,MX,25.0833,-108.05,101.14,51,61,10.49,broken clouds
172,Lompoc,US,34.6391,-120.4579,76.78,81,75,11.5,light rain
173,Kodiak,US,57.79,-152.4072,58.51,77,90,6.91,overcast clouds
174,Cherskiy,RU,68.75,161.3,48.38,58,5,11.61,clear sky
175,Nishihara,JP,26.1842,127.7558,80.26,97,90,11.5,overcast clouds
176,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,90,6.91,overcast clouds
177,Baykit,RU,61.67,96.37,65.17,74,51,3.29,broken clouds
178,Laiya,PH,13.675,121.3903,78.1,88,100,5.48,overcast clouds
179,Lamesa,US,32.7376,-101.951,98.08,23,15,5.59,few clouds
180,Veraval,IN,20.9,70.3667,81.05,86,100,15.88,overcast clouds
181,Luderitz,NA,-26.6481,15.1594,67.96,41,0,9.53,clear sky
182,Chokurdakh,RU,70.6333,147.9167,42.31,73,95,11.99,overcast clouds
183,Harper,LR,4.375,-7.7169,76.66,75,91,10.54,overcast clouds
184,Ribeira Grande,PT,38.5167,-28.7,77.4,65,20,11.5,few clouds
185,Qaanaaq,GL,77.484,-69.3632,41.88,68,100,7.49,overcast clouds
186,Kasongo-Lunda,CD,-6.4667,16.8167,72.57,33,86,2.13,overcast clouds
187,Noumea,NC,-22.2763,166.4572,70.0,99,100,9.53,overcast clouds
188,Bam,IR,29.106,58.357,91.44,12,4,20.74,clear sky
189,Nouakchott,MR,18.0858,-15.9785,75.13,79,35,18.16,scattered clouds
190,Bealanana,MG,-14.55,48.7333,57.27,91,99,7.0,overcast clouds
191,Kastamonu,TR,41.5,33.6667,57.79,92,10,5.23,clear sky
192,Krasnoselkup,RU,65.7,82.4667,54.52,96,100,15.99,light rain
193,Nikolskoye,RU,59.7035,30.7861,67.89,67,14,1.9,few clouds
194,Esperance,AU,-33.8667,121.9,57.04,71,55,29.21,broken clouds
195,Port Blair,IN,11.6667,92.75,81.66,86,100,20.45,overcast clouds
196,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,75,16.11,light rain
197,Beisfjord,NO,68.3751,17.5988,57.36,85,76,1.97,broken clouds
198,Yantal,RU,56.8471,105.2542,59.65,64,0,3.06,clear sky
199,Gumdag,TM,39.2061,54.5906,82.96,69,0,6.11,clear sky
200,Yulara,AU,-25.2406,130.9889,40.84,52,24,0.0,few clouds
201,Te Anau,NZ,-45.4167,167.7167,39.2,91,49,1.3,scattered clouds
202,College,US,64.8569,-147.8028,71.47,58,75,6.91,light rain
203,Airai,TL,-8.9266,125.4092,55.26,56,13,3.15,few clouds
204,Pemangkat,ID,1.1667,108.9667,79.47,87,80,6.91,broken clouds
205,Arman,RU,59.7,150.1667,56.79,88,93,5.82,overcast clouds
206,Antofagasta,CL,-23.65,-70.4,60.08,78,21,11.27,few clouds
207,Sisimiut,GL,66.9395,-53.6735,59.97,59,69,10.11,broken clouds
208,Chabahar,IR,25.2919,60.643,84.97,85,50,7.54,scattered clouds
209,Tecoanapa,MX,16.5167,-98.75,86.9,67,95,9.22,overcast clouds
210,Pitimbu,BR,-7.4706,-34.8086,79.39,82,23,9.98,few clouds
211,Saint George,US,37.1041,-113.5841,94.78,41,1,1.01,clear sky
212,Road Town,VG,18.4167,-64.6167,86.04,70,40,10.36,scattered clouds
213,Luanda,AO,-8.8368,13.2343,71.6,88,0,9.22,clear sky
214,Vao,NC,-22.6667,167.4833,67.89,61,100,16.67,overcast clouds
215,Urozhaynoye,RU,44.7883,44.9228,79.61,41,100,9.31,overcast clouds
216,Manacapuru,BR,-3.2997,-60.6206,90.18,61,100,2.71,overcast clouds
217,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.81,19,0,10.74,clear sky
218,Lere,NG,10.387,8.5726,66.87,97,100,6.55,moderate rain
219,Ostersund,SE,63.1792,14.6357,73.85,43,0,9.22,clear sky
220,Batagay,RU,67.6333,134.6333,58.35,80,63,9.42,broken clouds
221,Ruwi,OM,23.5996,58.5507,94.06,51,79,2.84,broken clouds
222,Cordoba,AR,-31.4135,-64.1811,61.75,31,0,10.0,clear sky
223,Qaqortoq,GL,60.7167,-46.0333,52.09,75,14,4.5,few clouds
224,Adrar,MR,20.5022,-10.0711,97.21,8,1,8.61,clear sky
225,Jalu,LY,29.0331,21.5482,86.13,27,0,4.41,clear sky
226,Vanavara,RU,60.34,102.2797,62.2,69,22,4.16,few clouds
227,Asau,RO,46.4333,26.4,67.28,84,87,4.63,overcast clouds
228,Dabhol,IN,17.6,73.1667,78.01,86,62,14.99,broken clouds
229,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,88,40,9.53,scattered clouds
230,Trairi,BR,-3.2778,-39.2689,79.5,77,9,15.19,clear sky
231,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.88,86,54,9.51,broken clouds
232,Padang,ID,-0.9492,100.3543,77.31,89,29,3.33,scattered clouds
233,Fairbanks,US,64.8378,-147.7164,71.49,57,40,5.01,light rain
234,Porirua,NZ,-41.1333,174.85,55.42,62,63,13.0,broken clouds
235,Fort Atkinson,US,42.9289,-88.8371,92.08,51,12,6.69,few clouds
236,Nanortalik,GL,60.1432,-45.2371,50.2,74,21,9.24,few clouds
237,Salalah,OM,17.0151,54.0924,77.72,85,100,11.23,overcast clouds
238,Lodja,CD,-3.4833,23.4333,70.93,39,80,2.89,broken clouds
239,Camargo,MX,27.6667,-105.1667,93.49,17,89,5.57,overcast clouds
240,Nakonde,ZM,-9.3421,32.745,45.68,87,15,6.8,few clouds
241,Guerrero Negro,MX,27.9769,-114.0611,80.02,52,0,13.53,clear sky
242,Jiazi,CN,22.8779,116.067,82.42,87,100,8.61,overcast clouds
243,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,94,20,17.27,few clouds
244,Phichit,TH,16.25,100.4167,75.72,90,95,1.19,overcast clouds
245,Sawankhalok,TH,17.316,99.8319,80.82,90,100,6.22,overcast clouds
246,Vilyuysk,RU,63.7553,121.6247,66.49,80,7,4.05,clear sky
247,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.1,46,98,13.49,overcast clouds
248,Biak,ID,-0.9131,122.8766,72.27,71,70,5.12,broken clouds
249,Union,US,40.6334,-74.2663,92.91,42,1,4.61,clear sky
250,Inirida,CO,3.8653,-67.9239,79.0,77,97,3.2,overcast clouds
251,Lalibela,ET,12.0333,39.0333,58.86,86,97,1.41,overcast clouds
252,Jos,NG,9.9167,8.9,70.9,97,100,6.08,light rain
253,Tura,IN,25.5198,90.2201,76.08,94,100,3.47,overcast clouds
254,Jackson,US,42.4165,-122.8345,95.76,31,1,4.61,clear sky
255,Itarema,BR,-2.9248,-39.9167,79.66,77,31,19.93,scattered clouds
256,Luganville,VU,-15.5333,167.1667,78.08,86,55,10.47,broken clouds
257,Sao Filipe,CV,14.8961,-24.4956,75.58,81,22,10.45,few clouds
258,Ambon,ID,-3.6954,128.1814,73.54,88,20,2.3,few clouds
259,Leningradskiy,RU,69.3833,178.4167,41.0,81,63,5.84,broken clouds
260,Arlit,NE,18.7369,7.3853,100.2,7,100,11.1,overcast clouds
261,Shenjiamen,CN,29.9576,122.298,79.0,91,100,26.57,overcast clouds
262,Tual,ID,-5.6667,132.75,80.8,75,90,16.28,overcast clouds
263,Fukue,JP,32.6881,128.8419,78.53,79,0,3.76,clear sky
264,Hobyo,SO,5.3505,48.5268,76.59,77,45,23.69,scattered clouds
265,Muroto,JP,33.2833,134.15,78.44,80,80,7.23,broken clouds
266,Petilia Policastro,IT,39.1139,16.7855,75.69,46,0,5.5,clear sky
267,Gravelbourg,CA,49.8834,-106.5512,84.47,23,0,6.8,clear sky
268,Blackfoot,US,43.1905,-112.345,96.55,7,87,6.62,overcast clouds
269,Udachnyy,RU,66.4167,112.4,73.0,58,31,3.53,scattered clouds
270,Vila Velha,BR,-20.3297,-40.2925,77.97,66,20,14.97,few clouds
271,Roald,NO,62.5833,6.1333,68.16,94,0,9.22,clear sky
272,Ketchikan,US,55.3422,-131.6461,59.47,82,90,4.61,shower rain
273,Faya,SA,18.3851,42.4509,68.11,58,70,4.27,broken clouds
274,Kainantu,PG,-6.2887,145.8655,57.51,95,97,1.81,overcast clouds
275,Colombo,LK,6.9319,79.8478,78.75,88,74,12.28,broken clouds
276,Rajapalaiyam,IN,9.45,77.5667,78.49,71,100,7.16,overcast clouds
277,Kruisfontein,ZA,-34.0033,24.7314,65.88,25,90,13.8,overcast clouds
278,Zambezi,ZM,-13.5432,23.1047,57.2,37,100,7.47,overcast clouds
279,Kavieng,PG,-2.5744,150.7967,81.61,74,53,8.01,broken clouds
280,Banda Aceh,ID,5.5577,95.3222,79.88,84,79,10.42,broken clouds
281,Canutama,BR,-6.5339,-64.3831,96.08,32,61,1.34,broken clouds
282,Paragominas,BR,-2.9667,-47.4833,81.16,54,46,3.42,scattered clouds
283,Tawang,IN,27.5833,91.8667,57.94,93,100,1.9,moderate rain
284,Broken Hill,AU,-31.95,141.4333,53.31,47,8,12.66,clear sky
285,Yellowknife,CA,62.456,-114.3525,72.12,49,40,13.8,scattered clouds
286,Portland,US,45.5234,-122.6762,91.53,46,71,3.0,broken clouds
287,Kargil,IN,34.5667,76.1,67.64,54,12,5.77,few clouds
288,Kudat,MY,6.8837,116.8477,73.33,94,20,0.0,few clouds
289,Chunskiy,RU,56.0815,99.6342,61.25,69,15,3.31,few clouds
290,Lazaro Cardenas,MX,17.9583,-102.2,86.92,67,11,8.41,few clouds
291,Basoko,CD,1.2391,23.616,76.6,69,97,3.2,overcast clouds
292,Porto Novo,BJ,6.4965,2.6036,78.62,76,25,10.92,scattered clouds
293,Bilibino,RU,68.0546,166.4372,49.53,57,72,7.14,broken clouds
294,Severo-Kurilsk,RU,50.6789,156.125,59.09,92,100,7.87,overcast clouds
295,Selenduma,RU,50.9131,106.2406,57.83,77,11,3.83,few clouds
296,Ufimskiy,RU,56.7084,58.0517,50.05,86,37,4.81,scattered clouds
297,Husavik,IS,66.0449,-17.3389,57.11,69,94,5.35,overcast clouds
298,Kijang,KR,35.2442,129.2139,76.73,89,3,7.05,clear sky
299,Lowestoft,GB,52.4752,1.7516,66.45,86,94,8.77,overcast clouds
300,Luau,AO,-10.7073,22.2247,61.32,30,100,7.14,overcast clouds
301,Port Hedland,AU,-20.3167,118.5667,60.85,100,61,6.91,broken clouds
302,Imbituva,BR,-25.23,-50.6044,61.59,68,14,1.68,few clouds
303,Cidreira,BR,-30.1811,-50.2056,61.29,97,100,3.22,moderate rain
304,Xingcheng,CN,40.6167,120.7167,76.3,88,94,3.44,light rain
305,Ngunguru,NZ,-35.6167,174.5,53.17,77,10,14.47,clear sky
306,Fuerte Olimpo,PY,-21.0415,-57.8738,94.14,19,2,7.65,clear sky
307,Zhezkazgan,KZ,47.8043,67.7144,69.19,29,0,11.56,clear sky
308,Tiksi,RU,71.6872,128.8694,38.3,89,88,10.63,overcast clouds
309,Ndele,CF,8.4109,20.6473,68.5,99,100,0.54,overcast clouds
310,Minbu,MM,20.1833,94.8833,75.38,91,92,14.74,overcast clouds
311,Karpathos,GR,35.507,27.2132,75.69,83,1,15.7,clear sky
312,Ferkessedougou,CI,9.6,-5.2,74.8,85,44,5.68,scattered clouds
313,Anadyr,RU,64.75,177.4833,50.5,93,75,17.0,moderate rain
314,Ilhabela,BR,-23.7781,-45.3581,69.6,59,0,5.66,clear sky
315,Ulaangom,MN,49.9811,92.0667,63.84,64,9,3.56,clear sky
316,Ilulissat,GL,69.2167,-51.1,44.83,95,100,8.03,light rain
317,Krasnouralsk,RU,58.3638,60.0407,50.72,87,9,6.89,clear sky
318,Kletnya,RU,53.3897,33.2171,68.16,79,42,4.16,scattered clouds
319,Saldanha,ZA,-33.0117,17.9442,53.65,82,44,8.66,scattered clouds
320,Mount Isa,AU,-20.7333,139.5,40.77,65,89,0.0,overcast clouds
321,Matagami,CA,49.7502,-77.6328,57.31,94,90,13.8,mist
322,Castro,BR,-24.7911,-50.0119,60.53,63,2,4.5,clear sky
323,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,18.41,scattered clouds
324,Sept-Iles,CA,50.2001,-66.3821,68.05,83,75,1.01,broken clouds
325,Byron Bay,AU,-28.65,153.6167,45.72,66,0,3.94,clear sky
326,Shar,KZ,49.5886,81.0453,65.77,71,85,13.56,overcast clouds
327,Pitsunda,GE,43.1592,40.3378,77.18,89,98,11.03,light rain
328,Umuarama,BR,-23.7664,-53.325,77.41,41,44,5.06,scattered clouds
329,Pevek,RU,69.7008,170.3133,36.79,87,94,13.87,overcast clouds
330,Khasan,RU,42.4308,130.6434,71.02,91,66,3.44,broken clouds
331,Sirsa,IN,29.5333,75.0167,85.55,74,99,5.53,overcast clouds
332,Marsa Matruh,EG,31.3525,27.2453,79.0,73,40,11.5,scattered clouds
333,Detchino,RU,54.8092,36.3075,61.25,82,65,5.48,broken clouds
334,Stokmarknes,NO,68.5646,14.9108,57.51,95,50,5.12,scattered clouds
335,Port Lincoln,AU,-34.7333,135.8667,54.52,49,47,21.81,scattered clouds
336,Bambous Virieux,MU,-20.3428,57.7575,66.45,100,40,3.44,light intensity shower rain
337,Pacific Grove,US,36.6177,-121.9166,83.61,78,40,1.99,scattered clouds
338,Gornopravdinsk,RU,60.05,69.9,53.71,65,89,4.41,overcast clouds
339,Buala,SB,-8.145,159.5921,79.39,85,59,8.08,light rain
340,Awbari,LY,26.5921,12.7805,86.31,20,0,9.06,clear sky
341,Sokoto,NG,13.0609,5.239,85.78,58,71,7.02,broken clouds
342,Talca,CL,-35.4333,-71.6667,54.16,70,9,11.61,clear sky
343,Marsh Harbour,BS,26.5412,-77.0636,83.98,71,8,11.14,clear sky
344,Bengkulu,ID,-3.8004,102.2655,73.67,76,2,4.29,clear sky
345,Hof,DE,50.3167,11.9167,66.74,82,55,1.99,broken clouds
346,Veinticinco De Mayo,AR,-35.4323,-60.1727,49.33,48,70,10.2,broken clouds
347,Taunggyi,MM,20.7833,97.0333,63.0,98,99,4.97,overcast clouds
