City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Espumoso,BR,-28.7247,-52.8497,62.65,97,100,4.34,light rain
110,Tual,ID,-5.6667,132.75,81.55,76,38,17.27,scattered clouds
111,Lakota,CI,5.8528,-5.6883,70.05,93,92,3.94,overcast clouds
112,Kapaa,US,22.0752,-159.319,84.52,75,75,3.0,broken clouds
113,Cherskiy,RU,68.75,161.3,53.44,48,11,21.88,few clouds
114,Kvarkeno,RU,52.0833,59.725,60.71,52,99,5.3,overcast clouds
115,Carnarvon,AU,-24.8667,113.6333,71.67,64,12,14.97,few clouds
116,Castro,BR,-24.7911,-50.0119,58.37,60,42,4.97,scattered clouds
117,Okhotsk,RU,59.3833,143.3,69.76,70,16,7.85,few clouds
118,Chodavaram,IN,17.8333,82.95,84.04,60,96,5.41,overcast clouds
119,Coihaique,CL,-45.5752,-72.0662,35.55,75,0,4.61,clear sky
120,Cabo San Lucas,MX,22.8909,-109.9124,91.51,67,1,5.01,clear sky
121,Rikitea,PF,-23.1203,-134.9692,74.75,80,98,17.38,overcast clouds
122,Thompson,CA,55.7435,-97.8558,65.39,38,7,2.48,clear sky
123,Chuy,UY,-33.6971,-53.4616,46.33,82,0,8.01,clear sky
124,Port Augusta,AU,-32.5,137.7667,66.34,29,1,32.86,clear sky
125,Linhares,BR,-19.3911,-40.0722,64.74,87,19,2.3,few clouds
126,Port Elizabeth,ZA,-33.918,25.5701,70.11,32,86,14.72,overcast clouds
127,Elko,US,41.0002,-115.5012,92.05,9,50,11.01,scattered clouds
128,Nanortalik,GL,60.1432,-45.2371,44.46,92,55,12.19,broken clouds
129,Iqaluit,CA,63.7506,-68.5145,49.69,81,100,3.0,overcast clouds
130,Saint George,US,37.1041,-113.5841,80.55,69,20,0.0,few clouds
131,Broome,US,42.2506,-75.833,73.08,74,50,1.61,scattered clouds
132,Mubende,UG,0.5606,31.39,58.93,76,31,1.43,scattered clouds
133,Chokurdakh,RU,70.6333,147.9167,44.26,65,100,12.82,overcast clouds
134,Bluff,NZ,-46.6,168.3333,53.8,71,11,21.25,few clouds
135,Flinders,AU,-34.5833,150.8552,69.39,47,2,5.99,clear sky
136,Hasaki,JP,35.7333,140.8333,79.09,73,33,18.5,scattered clouds
137,Moussoro,TD,13.6408,16.4901,81.28,71,100,7.65,overcast clouds
138,Dunedin,NZ,-45.8742,170.5036,55.8,42,4,7.0,clear sky
139,Alamos,MX,27.0167,-108.9333,89.71,56,21,3.76,few clouds
140,Lodja,CD,-3.4833,23.4333,64.56,43,59,2.8,broken clouds
141,Dulce Nombre De Culmi,HN,15.1,-85.5333,84.43,93,26,2.66,scattered clouds
142,Ozinki,RU,51.1786,49.6769,63.19,51,3,4.56,clear sky
143,Husavik,IS,66.0449,-17.3389,49.64,81,87,2.55,light rain
144,Pervomaysk,UA,48.0443,30.8507,70.3,54,11,6.31,few clouds
145,Kodiak,US,57.79,-152.4072,62.11,59,75,4.61,broken clouds
146,Cranbrook,CA,49.4999,-115.7688,87.62,15,0,9.28,clear sky
147,Port Alfred,ZA,-33.5906,26.891,60.67,31,21,10.45,few clouds
148,Lebu,CL,-37.6167,-73.65,45.23,78,51,15.88,broken clouds
149,Islamkot,PK,24.6997,70.177,83.23,78,100,21.21,overcast clouds
150,Serenje,ZM,-13.2325,30.2352,42.73,90,55,5.7,broken clouds
151,Kupang,ID,-10.1667,123.5833,86.58,54,20,12.66,few clouds
152,Goure,NE,13.9835,10.2704,74.01,83,100,10.07,overcast clouds
153,Kurilsk,RU,45.2333,147.8833,66.54,91,99,8.88,overcast clouds
154,San Patricio,US,28.017,-97.5169,84.83,64,4,9.31,clear sky
155,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,74.46,47,51,3.51,broken clouds
156,Akureyri,IS,65.6835,-18.0878,48.24,85,46,4.14,scattered clouds
157,Aklavik,CA,68.2191,-135.0107,54.79,85,100,3.18,overcast clouds
158,Tura,IN,25.5198,90.2201,79.88,90,100,4.47,light rain
159,Koungheul,SN,13.9833,-14.8,77.94,82,92,7.27,overcast clouds
160,Nelson Bay,AU,-32.7167,152.15,68.95,54,0,1.99,clear sky
