City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Porto Empedocle,IT,81.9,clear sky,37.2934,13.5264,Hotel dei Pini
159,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
162,Corinto,GR,84.69,clear sky,37.9407,22.9573,Ephira Hotel
163,Cassilandia,BR,79.7,clear sky,-19.1133,-51.7342,Delirius Motel
164,Brockville,CA,82.69,light rain,44.5834,-75.6826,"Holiday Inn Express & Suites Brockville, an IHG Hotel"
165,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
168,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
170,Tezu,IN,77.09,overcast clouds,27.9167,96.1667,Circuit House
172,Lompoc,US,76.78,light rain,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
175,Nishihara,JP,80.26,overcast clouds,26.1842,127.7558,Minshuku Agaihama
178,Laiya,PH,78.1,overcast clouds,13.675,121.3903,Blue Coral Beach Resort
180,Veraval,IN,81.05,overcast clouds,20.9,70.3667,Lords Inn Somnath
183,Harper,LR,76.66,overcast clouds,4.375,-7.7169,Screensaver
184,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
187,Noumea,NC,70.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
189,Nouakchott,MR,75.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
195,Port Blair,IN,81.66,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,College,US,71.47,light rain,64.8569,-147.8028,Pike's Waterfront Lodge
204,Pemangkat,ID,79.47,broken clouds,1.1667,108.9667,Ramah Kost KITA
208,Chabahar,IR,84.97,scattered clouds,25.2919,60.643,هتل گدروشیا
209,Tecoanapa,MX,86.9,overcast clouds,16.5167,-98.75,Hotel Manglares
210,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
212,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
213,Luanda,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
219,Ostersund,SE,73.85,clear sky,63.1792,14.6357,Best Western Hotel Gamla Teatern
225,Jalu,LY,86.13,clear sky,29.0331,21.5482,صاحبة الفخامة
228,Dabhol,IN,78.01,broken clouds,17.6,73.1667,Ashwamedh Resort
229,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
230,Trairi,BR,79.5,clear sky,-3.2778,-39.2689,janelas do mar
231,Sao Jose Da Coroa Grande,BR,74.88,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
232,Padang,ID,77.31,scattered clouds,-0.9492,100.3543,Mercure Padang
233,Fairbanks,US,71.49,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
237,Salalah,OM,77.72,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
241,Guerrero Negro,MX,80.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
242,Jiazi,CN,82.42,overcast clouds,22.8779,116.067,Hotel Jin Hao
244,Phichit,TH,75.72,overcast clouds,16.25,100.4167,Rommakham Homestay
245,Sawankhalok,TH,80.82,overcast clouds,17.316,99.8319,Boon Bunleng Resort
247,Presidencia Roque Saenz Pena,AR,71.1,overcast clouds,-26.7852,-60.4388,Hotel Gualok
248,Biak,ID,72.27,broken clouds,-0.9131,122.8766,Penginapan Kim
250,Inirida,CO,79.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
252,Jos,NG,70.9,light rain,9.9167,8.9,Silk Suites
253,Tura,IN,76.08,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
255,Itarema,BR,79.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
256,Luganville,VU,78.08,broken clouds,-15.5333,167.1667,The Espiritu Hotel
257,Sao Filipe,CV,75.58,few clouds,14.8961,-24.4956,Hotel Xaguate
258,Ambon,ID,73.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
261,Shenjiamen,CN,79.0,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
262,Tual,ID,80.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
263,Fukue,JP,78.53,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
264,Hobyo,SO,76.59,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
265,Muroto,JP,78.44,broken clouds,33.2833,134.15,Oota Ryokan
266,Petilia Policastro,IT,75.69,clear sky,39.1139,16.7855,Residenza D'Epoca Palazzo Verga
267,Gravelbourg,CA,84.47,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
269,Udachnyy,RU,73.0,scattered clouds,66.4167,112.4,Severnoye Siyaniye
270,Vila Velha,BR,77.97,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
275,Colombo,LK,78.75,broken clouds,6.9319,79.8478,Galle Face Hotel
276,Rajapalaiyam,IN,78.49,overcast clouds,9.45,77.5667,Hotel Amil
279,Kavieng,PG,81.61,broken clouds,-2.5744,150.7967,Nusa Island Retreat
280,Banda Aceh,ID,79.88,broken clouds,5.5577,95.3222,Sulthan Hotel International
282,Paragominas,BR,81.16,scattered clouds,-2.9667,-47.4833,INOVA
285,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
288,Kudat,MY,73.33,few clouds,6.8837,116.8477,Dream Garden Hotel
290,Lazaro Cardenas,MX,86.92,few clouds,17.9583,-102.2,quinta antigua
291,Basoko,CD,76.6,overcast clouds,1.2391,23.616,Jackyna Hotel
